rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
42,Rashee Rice,23113,rashee-rice,KC,6,WR,25,53,59,33,31,&nbsp;,44.0,10229
43,Lamar Jackson,17233,lamar-jackson,BAL,14,QB,4,44,35,49,49,&nbsp;,44.3,4881
44,James Cook III,22958,james-cook,BUF,12,RB,13,43,31,54,57,&nbsp;,46.3,8138
45,Trey McBride,22936,trey-mcbride,ARI,11,TE,3,47,48,47,47,&nbsp;,47.3,8130
46,Kenneth Walker III,23021,kenneth-walker-rb,KC,6,RB,14,46,37,57,50,&nbsp;,47.5,8151
47,Rachaad White,23891,rachaad-white,WAS,14,RB,15,38,33,58,63,&nbsp;,48.0,8136
48,Tank Dell,25361,nathaniel-dell,HOU,14,WR,26,49,77,34,37,&nbsp;,49.3,9502
49,Tee Higgins,19211,tee-higgins,CIN,12,WR,27,50,65,42,45,&nbsp;,50.5,6801
50,Amari Cooper,13894,amari-cooper,,,WR,28,45,63,46,48,&nbsp;,50.5,2309
51,Zay Flowers,22916,zay-flowers,BAL,14,WR,29,52,73,40,44,&nbsp;,52.3,9997
52,Dalton Kincaid,25247,dalton-kincaid,BUF,12,TE,4,59,46,53,52,&nbsp;,52.5,10236
53,Mark Andrews,17269,mark-andrews,BAL,14,TE,5,54,52,51,54,&nbsp;,52.8,5012
54,Joe Mixon,16420,joe-mixon,,,RB,16,48,42,63,62,&nbsp;,53.8,4018
55,Alvin Kamara,16421,alvin-kamara,NO,12,RB,17,51,38,73,56,&nbsp;,54.5,4035
56,Terry McLaurin,18466,terry-mclaurin,WAS,14,WR,30,61,67,48,42,&nbsp;,54.5,5927
57,George Pickens,22963,george-pickens,DAL,7,WR,31,56,58,50,55,&nbsp;,54.8,8137
58,Anthony Richardson Sr.,24347,anthony-richardson,IND,14,QB,5,57,45,62,71,&nbsp;,58.8,9229
59,Christian Kirk,17268,christian-kirk,SF,9,WR,32,60,75,55,53,&nbsp;,60.8,4950
60,C.J. Stroud,23071,cj-stroud,HOU,14,QB,6,55,50,70,76,&nbsp;,62.8,9758
61,Kyle Pitts Sr.,20164,kyle-pitts,ATL,12,TE,6,69,69,60,61,&nbsp;,64.8,7553
62,Kyler Murray,18600,kyler-murray,MIN,6,QB,7,70,54,71,68,&nbsp;,65.8,5849
63,Calvin Ridley,17258,calvin-ridley,TEN,5,WR,33,62,87,56,58,&nbsp;,65.8,4981
64,Chris Godwin Jr.,16406,chris-godwin,TB,11,WR,34,66,74,64,60,&nbsp;,66.0,4037
65,Keenan Allen,11616,keenan-allen,LAC,5,WR,35,58,84,65,65,&nbsp;,68.0,1479
66,George Kittle,16499,george-kittle,SF,9,TE,7,77,66,66,69,&nbsp;,69.5,4217
67,James Conner,16447,james-conner,ARI,11,RB,18,71,61,75,72,&nbsp;,69.8,4137
68,David Montgomery,18239,david-montgomery,HOU,14,RB,19,67,72,69,74,&nbsp;,70.5,5892
69,Evan Engram,16411,evan-engram,DEN,14,TE,8,73,71,76,64,&nbsp;,71.0,4066
70,Xavier Worthy,23019,xavier-worthy,KC,6,WR,36,84,99,52,51,&nbsp;,71.5,11624
71,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,20,64,57,83,85,&nbsp;,72.3,4199
72,Jayden Reed,23020,jayden-reed,GB,10,WR,37,68,96,59,66,&nbsp;,72.3,10222
73,Najee Harris,19302,najee-harris-rb,LAC,5,RB,21,65,64,80,83,&nbsp;,73.0,7528
74,Diontae Johnson,18615,diontae-johnson,,,WR,38,76,86,67,67,&nbsp;,74.0,5937
75,D'Andre Swift,19210,dandre-swift,CHI,7,RB,22,79,53,89,77,&nbsp;,74.5,6790
76,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,14,RB,23,72,56,86,91,&nbsp;,76.3,7611
77,Joe Burrow,19196,joe-burrow,CIN,12,QB,8,63,60,90,92,&nbsp;,76.3,6770
78,Jordan Love,19246,jordan-love,GB,10,QB,9,74,55,92,99,&nbsp;,80.0,6804
79,Rome Odunze,25411,rome-odunze,CHI,7,WR,39,83,120,61,59,&nbsp;,80.8,11620
80,Zamir White,20095,zamir-white,LV,10,RB,24,78,68,94,89,&nbsp;,82.3,8139
81,Raheem Mostert,14338,raheem-mostert,LV,10,RB,25,82,78,84,87,&nbsp;,82.8,2749
82,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,10,WR,40,81,104,74,73,&nbsp;,83.0,9488
83,Dak Prescott,15600,dak-prescott,DAL,7,QB,10,75,62,100,98,&nbsp;,83.8,3294
84,Javonte Williams,22739,javonte-williams,DAL,7,RB,26,80,70,97,90,&nbsp;,84.3,7588
85,Christian Watson,23886,christian-watson,GB,10,WR,41,85,105,72,75,&nbsp;,84.3,8167
86,Jake Ferguson,22718,jake-ferguson,DAL,7,TE,9,91,91,82,80,&nbsp;,86.0,8110
87,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,12,WR,42,100,116,68,70,&nbsp;,88.5,11631
88,Jayden Daniels,22902,jayden-daniels,WAS,14,QB,11,88,79,95,93,&nbsp;,88.8,11566
89,Tony Pollard,18705,tony-pollard,TEN,5,RB,27,86,83,96,95,&nbsp;,90.0,5967
90,DeAndre Hopkins,11606,deandre-hopkins,BAL,14,WR,43,94,107,85,84,&nbsp;,92.5,1426
91,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,28,90,90,91,100,&nbsp;,92.8,8228
92,Courtland Sutton,17253,courtland-sutton,DEN,14,WR,44,95,112,88,82,&nbsp;,94.3,5045
93,Hollywood Brown,18226,marquise-brown,PHI,5,WR,45,87,127,79,86,&nbsp;,94.8,5848
94,Ladd McConkey,26122,ladd-mcconkey,LAC,5,WR,46,107,119,78,81,&nbsp;,96.3,11635
95,Jameson Williams,23677,jameson-williams,DET,5,WR,47,108,108,81,88,&nbsp;,96.3,8148
96,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,12,RB,29,97,85,106,106,&nbsp;,98.5,8154
97,Caleb Williams,23084,caleb-williams,CHI,7,QB,12,102,81,107,105,&nbsp;,98.8,11560
98,David Njoku,16399,david-njoku,LAC,5,TE,10,98,94,101,104,&nbsp;,99.3,4033
99,Keon Coleman,26019,keon-coleman,BUF,12,WR,48,118,126,77,79,&nbsp;,100.0,11637
100,Devin Singletary,18280,devin-singletary,NYG,11,RB,30,109,76,109,108,&nbsp;,100.5,6130
101,Brock Bowers,22955,brock-bowers,LV,10,TE,11,110,102,93,97,&nbsp;,100.5,11604
102,Brock Purdy,19797,brock-purdy,SF,9,QB,13,89,89,114,112,&nbsp;,101.0,8183
103,Jordan Addison,23107,jordan-addison,MIN,6,WR,49,93,123,87,102,&nbsp;,101.3,9756
104,Chase Brown,25324,chase-brown,CIN,12,RB,31,105,97,104,103,&nbsp;,102.3,9224
105,Zack Moss,19263,zack-moss,,,RB,32,103,92,108,107,&nbsp;,102.5,6845
106,Tyjae Spears,25323,tyjae-spears,TEN,5,RB,33,96,100,111,109,&nbsp;,104.0,9508
107,Khalil Shakir,23748,khalil-shakir,BUF,12,WR,50,111,130,103,78,&nbsp;,105.5,8134
108,Jonathon Brooks,26148,jonathon-brooks,CAR,11,RB,34,104,106,105,113,&nbsp;,107.0,11583
109,Jared Goff,15501,jared-goff,DET,5,QB,14,99,82,125,123,&nbsp;,107.3,3163
110,Tua Tagovailoa,19198,tua-tagovailoa,ATL,12,QB,15,92,95,123,119,&nbsp;,107.3,6768
111,Jerome Ford,22921,jerome-ford,WAS,14,RB,35,116,103,112,101,&nbsp;,108.0,8143
112,Romeo Doubs,23794,romeo-doubs,NE,14,WR,51,112,129,98,94,&nbsp;,108.3,8121
113,Trevor Lawrence,19780,trevor-lawrence,JAC,12,QB,16,106,101,117,120,&nbsp;,111.0,7523
114,Austin Ekeler,16483,austin-ekeler,,,RB,36,101,98,128,122,&nbsp;,112.3,4663
115,Joshua Palmer,22845,josh-palmer,BUF,12,WR,52,129,137,99,96,&nbsp;,115.3,7670
116,Blake Corum,23013,blake-corum,LAR,6,RB,37,121,113,116,117,&nbsp;,116.8,11586
117,Curtis Samuel,16434,curtis-samuel,,,WR,53,127,134,102,111,&nbsp;,118.5,4082
118,Dallas Goedert,17270,dallas-goedert,PHI,5,TE,12,117,117,119,124,&nbsp;,119.3,5022
119,Gus Edwards,17687,gus-edwards,,,RB,38,120,128,122,121,&nbsp;,122.8,5248
120,Rico Dowdle,19647,rico-dowdle,PIT,9,RB,39,138,125,115,116,&nbsp;,123.5,7021
121,Jakobi Meyers,18598,jakobi-meyers,JAC,12,WR,54,123,145,121,110,&nbsp;,124.8,5947
122,Trey Benson,25388,trey-benson,ARI,11,RB,40,122,118,131,131,&nbsp;,125.5,11589
123,Kirk Cousins,11177,kirk-cousins,LV,10,QB,17,114,109,146,134,&nbsp;,125.8,1166
124,Nick Chubb,17246,nick-chubb,,,RB,41,113,110,133,150,&nbsp;,126.5,4988
125,Justin Herbert,18635,justin-herbert,LAC,5,QB,18,115,111,138,142,&nbsp;,126.5,6797
126,Dontayvion Wicks,24354,dontayvion-wicks,PHI,5,WR,55,142,155,110,114,&nbsp;,130.3,9486
127,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,42,130,114,137,140,&nbsp;,130.3,3164
128,Chuba Hubbard,19792,chuba-hubbard,CAR,11,RB,43,132,124,141,128,&nbsp;,131.3,7594
129,Rashid Shaheed,24687,rashid-shaheed,SEA,10,WR,56,128,167,113,118,&nbsp;,131.5,8676
130,Tyler Lockett,13971,tyler-lockett,LV,10,WR,57,125,152,118,132,&nbsp;,131.8,2374
131,Dalton Schultz,17349,dalton-schultz,HOU,14,TE,13,126,136,132,133,&nbsp;,131.8,5001
132,Matthew Stafford,9451,matthew-stafford,LAR,6,QB,19,119,122,149,151,&nbsp;,135.3,421
133,Jerry Jeudy,19201,jerry-jeudy,CLE,10,WR,58,145,146,124,127,&nbsp;,135.5,6783
134,Pat Freiermuth,20163,pat-freiermuth,PIT,9,TE,14,131,132,136,144,&nbsp;,135.8,7600
135,Mike Williams,16377,mike-williams-wr,,,WR,59,136,154,130,126,&nbsp;,136.5,
136,J.K. Dobbins,19245,jk-dobbins,DEN,14,RB,44,153,121,142,137,&nbsp;,138.3,6806
137,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,20,124,115,158,157,&nbsp;,138.5,96
138,Gabe Davis,19398,gabriel-davis,,,WR,60,149,149,127,130,&nbsp;,138.8,6943
139,Ty Chandler,19471,ty-chandler,NO,12,RB,45,147,138,135,135,&nbsp;,138.8,8230
140,Brandin Cooks,12122,brandin-cooks,,,WR,61,137,165,129,125,&nbsp;,139.0,2197
141,Zach Charbonnet,23152,zach-charbonnet,SEA,10,RB,46,135,141,139,145,&nbsp;,140.0,9753
142,T.J. Hockenson,18290,tj-hockenson,MIN,6,TE,15,139,131,145,147,&nbsp;,140.5,5844
143,Jaleel McLaughlin,25876,jaleel-mclaughlin,DEN,14,RB,47,146,140,147,139,&nbsp;,143.0,11439
144,Jaylen Wright,25987,jaylen-wright,MIA,6,RB,48,144,144,143,149,&nbsp;,145.0,11643
145,Adonai Mitchell,24357,adonai-mitchell,NYJ,12,WR,62,158,174,120,129,&nbsp;,145.3,11625
146,Cole Kmet,19229,cole-kmet,CHI,7,TE,16,140,133,154,158,&nbsp;,146.3,6826
147,Darnell Mooney,19810,darnell-mooney,NYG,11,WR,63,151,166,134,136,&nbsp;,146.8,7090
148,Tyler Allgeier,24172,tyler-allgeier,ARI,11,RB,49,152,148,144,143,&nbsp;,146.8,8132
149,Baker Mayfield,17237,baker-mayfield,TB,11,QB,21,133,135,164,165,&nbsp;,149.3,4892
150,Deshaun Watson,16398,deshaun-watson,CLE,10,QB,22,134,147,162,161,&nbsp;,151.0,4017
151,Michael Wilson,25333,michael-wilson,ARI,11,WR,64,162,161,140,141,&nbsp;,151.0,10232
152,Ja'Lynn Polk,26205,jalynn-polk,NO,12,WR,65,171,178,126,138,&nbsp;,153.3,11619
153,Geno Smith,11687,geno-smith,NYJ,12,QB,23,141,143,167,170,&nbsp;,155.3,1373
154,Luke Musgrave,25282,luke-musgrave,GB,10,TE,17,150,153,155,164,&nbsp;,155.5,9481
155,Adam Thielen,13429,adam-thielen,,,WR,66,155,163,153,153,&nbsp;,156.0,1689
156,Taysom Hill,17115,taysom-hill,,,TE,18,143,139,235,115,&nbsp;,158.0,4381
157,Ray Davis,26191,ray-davis,BUF,12,RB,50,163,169,152,148,&nbsp;,158.0,11575
158,Will Levis,22987,will-levis,TEN,5,QB,24,148,142,177,166,&nbsp;,158.3,9999
159,Bucky Irving,25981,bucky-irving,TB,11,RB,51,167,150,157,159,&nbsp;,158.3,11584
160,Josh Downs,24706,josh-downs,IND,14,WR,67,154,188,148,154,&nbsp;,161.0,9500
161,Antonio Gibson,19624,antonio-gibson,,,RB,52,156,157,169,162,&nbsp;,161.0,6945
162,Braelon Allen,24346,braelon-allen,NYJ,12,RB,53,165,171,161,163,&nbsp;,165.0,11576
163,Jordan Mason,22969,jordan-mason,MIN,6,RB,54,202,156,151,152,&nbsp;,165.3,8408
164,MarShawn Lloyd,23118,marshawn-lloyd,GB,10,RB,55,160,160,168,174,&nbsp;,165.5,11581
165,Xavier Legette,26136,xavier-legette,CAR,11,WR,68,189,179,150,146,&nbsp;,166.0,11626
166,Tyler Conklin,17598,tyler-conklin,DET,5,TE,19,157,168,171,176,&nbsp;,168.0,5133
167,Khalil Herbert,22763,khalil-herbert,,,RB,56,170,180,163,169,&nbsp;,170.5,7608
168,Kimani Vidal,26355,kimani-vidal,LAC,5,RB,57,182,172,174,156,&nbsp;,171.0,11647
169,Hunter Henry,15561,hunter-henry,NE,14,TE,20,168,173,166,184,&nbsp;,172.8,3214
170,Isaiah Likely,23781,isaiah-likely,NYG,11,TE,21,175,181,173,167,&nbsp;,174.0,8131
171,Jahan Dotson,23101,jahan-dotson,ATL,12,WR,69,159,190,172,180,&nbsp;,175.3,8119
172,Bo Nix,22910,bo-nix,DEN,14,QB,25,180,158,185,179,&nbsp;,175.5,11563
173,DeMario Douglas,25304,demario-douglas,NE,14,WR,70,181,196,156,172,&nbsp;,176.3,9501
174,Bryce Young,22900,bryce-young,CAR,11,QB,26,164,162,196,192,&nbsp;,178.5,9228
175,Derek Carr,12092,derek-carr,,,QB,27,161,151,203,202,&nbsp;,179.3,2028
176,Cade Otton,23181,cade-otton,TB,11,TE,22,169,183,179,188,&nbsp;,179.8,8111
177,Sam Darnold,17236,sam-darnold,SEA,10,QB,28,185,170,184,183,&nbsp;,180.5,4943
178,Quentin Johnston,23123,quentin-johnston,LAC,5,WR,71,172,185,189,190,&nbsp;,184.0,9754
179,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,11,RB,58,194,176,183,186,&nbsp;,184.8,11655
180,Wan'Dale Robinson,22985,wandale-robinson,TEN,5,WR,72,186,210,176,168,&nbsp;,185.0,8126
181,Daniel Jones,18232,daniel-jones,IND,14,QB,29,183,159,201,200,&nbsp;,185.8,5870
182,Noah Fant,17527,noah-fant,NO,12,TE,23,195,195,170,185,&nbsp;,186.3,5857
183,Jonnu Smith,16460,jonnu-smith,,,TE,24,188,175,191,191,&nbsp;,186.3,4144
184,Jalen Tolbert,23770,jalen-tolbert,MIA,6,WR,73,215,211,160,160,&nbsp;,186.5,8117
185,Rashod Bateman,19794,rashod-bateman,BAL,14,WR,74,190,228,165,178,&nbsp;,190.3,7571
186,Samaje Perine,16423,samaje-perine,CIN,12,RB,59,234,184,178,173,&nbsp;,192.3,4147
187,Marvin Mims Jr.,23080,marvin-mims,DEN,14,WR,75,176,209,190,196,&nbsp;,192.8,9494
188,Tank Bigsby,22908,tank-bigsby,PHI,5,RB,60,216,191,188,182,&nbsp;,194.3,9225
189,Jalen McMillan,23179,jalen-mcmillan,TB,11,WR,76,236,233,159,155,&nbsp;,195.8,11618
190,Greg Dortch,18585,greg-dortch,DET,5,WR,77,224,214,175,171,&nbsp;,196.0,5970
191,Juwan Johnson,19562,juwan-johnson,NO,12,TE,25,205,194,192,193,&nbsp;,196.0,7002
192,Jermaine Burton,22956,jermaine-burton,,,WR,78,211,205,182,187,&nbsp;,196.3,11640
193,Ben Sinnott,26310,ben-sinnott,WAS,14,TE,26,210,198,181,198,&nbsp;,196.8,11596
194,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,14,TE,27,193,164,213,220,&nbsp;,197.5,8210
195,Justin Fields,19781,justin-fields,KC,6,QB,30,187,193,210,206,&nbsp;,199.0,7591
196,Drake Maye,23046,drake-maye,NE,14,QB,31,208,201,193,194,&nbsp;,199.0,11564
197,Luke McCaffrey,26328,luke-mccaffrey,WAS,14,WR,79,230,204,194,177,&nbsp;,201.3,11650
198,Roschon Johnson,25322,roschon-johnson,CHI,7,RB,61,178,215,220,203,&nbsp;,204.0,10235
199,Audric Estime,23054,audric-estime,NO,12,RB,62,209,213,200,195,&nbsp;,204.3,11579
200,Andrei Iosivas,25335,andrei-iosivas,CIN,12,WR,80,229,234,186,175,&nbsp;,206.0,10226
201,Justice Hill,18256,justice-hill,BAL,14,RB,63,225,217,195,189,&nbsp;,206.5,5995
202,Russell Wilson,11180,russell-wilson,,,QB,32,200,177,229,222,&nbsp;,207.0,1234
203,Tyler Boyd,15547,tyler-boyd,,,WR,81,218,219,204,197,&nbsp;,209.5,3225
204,Gardner Minshew II,18562,gardner-minshew,ARI,11,QB,33,221,182,223,215,&nbsp;,210.3,6011
205,Dyami Brown,20113,dyami-brown,WAS,14,WR,82,248,186,206,212,&nbsp;,213.0,7587
206,Alexander Mattison,18621,alexander-mattison,,,RB,64,219,203,221,217,&nbsp;,215.0,5987
207,Colby Parkinson,19372,colby-parkinson,LAR,6,TE,28,226,232,198,205,&nbsp;,215.3,6865
208,Greg Dulcich,23153,greg-dulcich,MIA,6,TE,29,235,208,209,213,&nbsp;,216.3,8172
209,Mike Gesicki,17272,mike-gesicki,CIN,12,TE,30,213,223,219,225,&nbsp;,220.0,4993
210,Dalvin Cook,16374,dalvin-cook,,,RB,65,250,197,215,219,&nbsp;,220.3,4029
211,Troy Franklin,23092,troy-franklin,DEN,14,WR,83,204,221,233,223,&nbsp;,220.3,11627
212,Will Shipley,22930,will-shipley,PHI,5,RB,66,239,222,211,209,&nbsp;,220.3,11577
213,Cam Akers,19268,cam-akers,,,RB,67,277,200,205,208,&nbsp;,222.5,6938
214,Carson Steele,26372,carson-steele,PHI,5,RB,68,269,189,218,216,&nbsp;,223.0,11582
215,Dameon Pierce,22947,dameon-pierce,PHI,5,RB,69,223,218,224,230,&nbsp;,223.8,8129
216,Demarcus Robinson,15665,demarcus-robinson,SF,9,WR,84,196,&nbsp;,180,181,&nbsp;,185.7,3286
217,Zach Ertz,11689,zach-ertz,,,TE,31,233,216,226,238,&nbsp;,228.3,1339
218,Roman Wilson,26160,roman-wilson,,,WR,85,231,229,207,247,&nbsp;,228.5,11630
219,Darius Slayton,18706,darius-slayton,NYG,11,WR,86,260,212,222,224,&nbsp;,229.5,6149
220,Ricky Pearsall,26214,ricky-pearsall,SF,9,WR,87,203,207,187,&nbsp;,&nbsp;,199.0,11638
221,Keaton Mitchell,25360,keaton-mitchell,LAC,5,RB,70,246,227,230,257,&nbsp;,240.0,9511
222,Dallas Cowboys,8080,,,7,DST,1,173,80,&nbsp;,&nbsp;,&nbsp;,126.5,
223,Kenneth Gainwell,23310,kenneth-gainwell,TB,11,RB,71,257,199,261,249,&nbsp;,241.5,7567
224,Baltimore Ravens,8020,,,14,DST,2,166,93,&nbsp;,&nbsp;,&nbsp;,129.5,
225,Dawson Knox,18631,dawson-knox,BUF,12,TE,32,276,224,231,244,&nbsp;,243.8,5906
226,New York Jets,8210,,,12,DST,3,179,88,&nbsp;,&nbsp;,&nbsp;,133.5,
227,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,72,262,206,270,255,&nbsp;,248.3,6820
228,Kendre Miller,24360,kendre-miller,NO,12,RB,73,174,&nbsp;,238,231,&nbsp;,214.3,9757
229,Ja'Tavion Sanders,24334,jatavion-sanders,CAR,11,TE,33,282,225,239,253,&nbsp;,249.8,11600
230,Miles Sanders,18283,miles-sanders,,,RB,74,249,226,284,241,&nbsp;,250.0,6151
231,Malachi Corley,26023,malachi-corley,CLE,10,WR,88,244,&nbsp;,199,210,&nbsp;,217.7,11617
232,Malik Washington,26314,malik-washington,MIA,6,WR,89,272,&nbsp;,197,199,&nbsp;,222.7,11610
233,Jordan Whittington,23135,jordan-whittington,LAR,6,WR,90,273,&nbsp;,202,204,&nbsp;,226.3,11623
234,Eric Gray,23075,eric-gray,NYG,11,RB,75,287,231,263,258,&nbsp;,259.8,10223
235,Jamaal Williams,16424,jamaal-williams,,,RB,76,256,202,234,&nbsp;,&nbsp;,230.7,4149
236,Tucker Kraft,25298,tucker-kraft,GB,10,TE,34,251,&nbsp;,217,228,&nbsp;,232.0,9484
237,Joe Flacco,9300,joe-flacco,CIN,12,QB,34,270,220,298,264,&nbsp;,263.0,19
238,Hayden Hurst,17283,hayden-hurst,,,TE,35,258,&nbsp;,248,201,&nbsp;,235.7,4973
239,Noah Brown,16443,noah-brown,,,WR,91,288,&nbsp;,216,207,&nbsp;,237.0,4234
240,Josh Reynolds,16439,josh-reynolds,,,WR,92,286,&nbsp;,212,214,&nbsp;,237.3,4171
241,Jalen Nailor,24177,jalen-nailor,LV,10,WR,93,290,&nbsp;,214,211,&nbsp;,238.3,8180
242,Theo Johnson,23104,theo-johnson,NYG,11,TE,36,285,&nbsp;,208,229,&nbsp;,240.7,11597
243,Jalin Hyatt,25251,jalin-hyatt,NYG,11,WR,94,279,&nbsp;,227,221,&nbsp;,242.3,9497
244,D'Onta Foreman,16407,donta-foreman,,,RB,77,237,&nbsp;,255,237,&nbsp;,243.0,4111
245,Jacoby Brissett,15642,jacoby-brissett,ARI,11,QB,35,264,187,279,&nbsp;,&nbsp;,243.3,3257
246,Tre Tucker,25337,tre-tucker,LV,10,WR,95,268,&nbsp;,228,234,&nbsp;,243.3,10213
247,Trey Sermon,19425,trey-sermon,,,RB,78,283,&nbsp;,225,227,&nbsp;,245.0,7593
248,Dylan Laube,26194,dylan-laube,LV,10,RB,79,255,&nbsp;,243,240,&nbsp;,246.0,11574
249,Elijah Moore,20114,elijah-moore,PHI,5,WR,96,252,&nbsp;,246,246,&nbsp;,248.0,7596
250,Tim Patrick,16556,tim-patrick,NYJ,12,WR,97,241,&nbsp;,271,233,&nbsp;,248.3,4351
251,Isaac Guerendo,26392,isaac-guerendo,SF,9,RB,80,274,&nbsp;,262,218,&nbsp;,251.3,11651
252,Michael Mayer,23056,michael-mayer,LV,10,TE,37,227,&nbsp;,254,273,&nbsp;,251.3,9482
253,Javon Baker,22885,javon-baker,,,WR,98,271,&nbsp;,236,250,&nbsp;,252.3,11645
254,Jauan Jennings,19590,jauan-jennings,MIN,6,WR,99,275,&nbsp;,240,243,&nbsp;,252.7,7049
255,Van Jefferson,19483,van-jefferson,WAS,14,WR,100,280,&nbsp;,256,232,&nbsp;,256.0,6853
256,Emanuel Wilson,25885,emanuel-wilson,SEA,10,RB,81,306,&nbsp;,237,226,&nbsp;,256.3,11435
