name,is_pick,ktc_player_id,ktc_slug,sleeper_id,sleeper_name,position,team,ktc_match,sleeper_match
Cam Akers,0,,,6938,Cam Akers,RB,,no_ktc,exact
Cameron Latu,0,,,10210,Cameron Latu,TE,PHI,no_ktc,exact
Cedric Tillman,0,1444,cedric-tillman-1444,10444,Cedric Tillman,WR,CLE,exact,exact
Cedrick Wilson,0,,,5113,Cedrick Wilson,WR,DET,no_ktc,exact
CeeDee Lamb,0,546,ceedee-lamb-546,6786,CeeDee Lamb,WR,DAL,exact,exact
Charlie Jones,0,,,10228,Charlie Jones,WR,CIN,no_ktc,exact
Charlie Kolar,0,1254,charlie-kolar-1254,8127,Charlie Kolar,TE,LAC,exact,exact
Chase Brown,0,1396,chase-brown-1396,9224,Chase Brown,RB,CIN,exact,exact
Chase Claypool,0,,,6886,Chase Claypool,WR,,no_ktc,exact
Chase Edmonds,0,,,5000,Chase Edmonds,RB,,no_ktc,exact
Chigoziem Okonkwo,0,1320,chigoziem-okonkwo-1320,8210,Chig Okonkwo,TE,WAS,exact,last_name
Chris Brooks,0,1490,chris-brooks-1490,11370,Chris Brooks,RB,GBP,exact,exact
Chris Evans,0,,,7794,Chris Evans,RB,,no_ktc,exact
Chris Godwin,0,299,chris-godwin-299,4037,Chris Godwin,WR,TBB,exact,exact
Chris Olave,0,1271,chris-olave-1271,8144,Chris Olave,WR,NOS,exact,exact
Chris Rodriguez,0,1389,chris-rodriguez-1389,10219,Chris Rodriguez,RB,JAC,exact,exact
Christian Kirk,0,221,christian-kirk-221,4950,Christian Kirk,WR,SFO,exact,exact
Christian McCaffrey,0,283,christian-mccaffrey-283,4034,Christian McCaffrey,RB,SFO,exact,exact
Christian Watson,0,1248,christian-watson-1248,8167,Christian Watson,WR,GBP,exact,exact
Chuba Hubbard,0,1014,chuba-hubbard-1014,7594,Chuba Hubbard,RB,CAR,exact,exact
Clayton Tune,0,,,10217,Clayton Tune,QB,,no_ktc,exact
Clyde Edwards-Helaire,0,,,6820,Clyde Edwards-Helaire,RB,,no_ktc,exact
Colby Parkinson,0,565,colby-parkinson-565,6865,Colby Parkinson,TE,LAR,exact,exact
Cole Kmet,0,569,cole-kmet-569,6826,Cole Kmet,TE,CHI,exact,exact
Cole Turner,0,,,8214,Cole Turner,TE,MIA,no_ktc,exact
Cooper Kupp,0,310,cooper-kupp-310,4039,Cooper Kupp,WR,SEA,exact,exact
Cordarrelle Patterson,0,,,1535,Cordarrelle Patterson,RB,,no_ktc,exact
Courtland Sutton,0,226,courtland-sutton-226,5045,Courtland Sutton,WR,DEN,exact,exact
Craig Reynolds,0,,,6659,Craig Reynolds,RB,WAS,no_ktc,exact
Curtis Samuel,0,,,4082,Curtis Samuel,WR,,no_ktc,exact
D'Andre Swift,0,639,d-andre-swift-639,6790,D'Andre Swift,RB,CHI,exact,exact
D'Ernest Johnson,0,,,6694,D'Ernest Johnson,RB,TEN,no_ktc,exact
D'Onta Foreman,0,,,4111,D'Onta Foreman,RB,,no_ktc,exact
D.J. Chark,0,,,4951,DJ Chark,WR,,no_ktc,normalised
D.J. Moore,0,304,dj-moore-304,4983,DJ Moore,WR,BUF,exact,normalised
DK Metcalf,0,224,dk-metcalf-224,5846,DK Metcalf,WR,PIT,exact,exact
Dak Prescott,0,371,dak-prescott-371,3294,Dak Prescott,QB,DAL,exact,exact
Dallas Goedert,0,382,dallas-goedert-382,5022,Dallas Goedert,TE,PHI,exact,exact
Dalton Kincaid,0,1428,dalton-kincaid-1428,10236,Dalton Kincaid,TE,BUF,exact,exact
Dalton Schultz,0,487,dalton-schultz-487,5001,Dalton Schultz,TE,HOU,exact,exact
Dalvin Cook,0,,,4029,Dalvin Cook,RB,,no_ktc,exact
Dameon Pierce,0,1207,dameon-pierce-1207,8129,Dameon Pierce,RB,PHI,exact,exact
Daniel Bellinger,0,1322,daniel-bellinger-1322,8225,Daniel Bellinger,TE,TEN,exact,exact
Daniel Jones,0,87,daniel-jones-87,5870,Daniel Jones,QB,IND,exact,exact
Danny Gray,0,,,8176,Danny Gray,WR,PHI,no_ktc,exact
Darius Slayton,0,77,darius-slayton-77,6149,Darius Slayton,WR,NYG,exact,exact
Darnell Mooney,0,911,darnell-mooney-911,7090,Darnell Mooney,WR,NYG,exact,exact
Darnell Washington,0,1431,darnell-washington-1431,9479,Darnell Washington,TE,PIT,exact,exact
Darren Waller,0,349,darren-waller-349,2505,Darren Waller,TE,CAR,exact,exact
Davante Adams,0,277,davante-adams-277,2133,Davante Adams,WR,LAR,exact,exact
David Bell,0,1275,david-bell-1275,8118,David Bell,WR,CLE,exact,exact
David Montgomery,0,288,david-montgomery-288,5892,David Montgomery,RB,HOU,exact,exact
David Moore,0,,,4274,David Moore,WR,CAR,no_ktc,exact
David Njoku,0,252,david-njoku-252,4033,David Njoku,TE,LAC,exact,exact
Davis Allen,0,1434,davis-allen-1434,10214,Davis Allen,TE,LAR,exact,exact
Davis Mills,0,1029,davis-mills-1029,7585,Davis Mills,QB,HOU,exact,exact
Dawson Knox,0,88,dawson-knox-88,5906,Dawson Knox,TE,BUF,exact,exact
De'Von Achane,0,1398,de-von-achane-1398,9226,De'Von Achane,RB,MIA,exact,exact
DeAndre Hopkins,0,,,1426,DeAndre Hopkins,WR,,no_ktc,exact
DeVante Parker,0,,,2319,DeVante Parker,WR,,no_ktc,exact
DeVonta Smith,0,1005,devonta-smith-1005,7525,DeVonta Smith,WR,PHI,exact,exact
DeWayne McBride,0,,,9512,DeWayne McBride,RB,,no_ktc,exact
DeeJay Dallas,0,,,6931,DeeJay Dallas,RB,JAX,no_ktc,exact
Deebo Samuel,0,383,deebo-samuel-383,5872,Deebo Samuel,WR,SFO,exact,exact
Demarcus Robinson,0,52,demarcus-robinson-52,3286,Demarcus Robinson,WR,SFO,exact,exact
Demario Douglas,0,1468,demario-douglas-1468,9501,DeMario Douglas,WR,NEP,exact,normalised
Deneric Prince,0,,,10870,Deneric Prince,RB,,no_ktc,exact
Denzel Mims,0,,,6849,Denzel Mims,WR,DAL,no_ktc,exact
Deon Jackson,0,,,7551,Deon Jackson,RB,,no_ktc,exact
Deonte Harty,0,,,6234,Deonte Harty,WR,,no_ktc,exact
Derek Carr,0,,,2028,Derek Carr,QB,,no_ktc,exact
Derius Davis,0,1473,derius-davis-1473,10234,Derius Davis,WR,LAC,exact,exact
Derrick Henry,0,296,derrick-henry-296,3198,Derrick Henry,RB,BAL,exact,exact
Deshaun Watson,0,261,deshaun-watson-261,4017,Deshaun Watson,QB,CLE,exact,exact
Desmond Ridder,0,,,8159,Desmond Ridder,QB,,no_ktc,exact
Deuce Vaughn,0,1391,deuce-vaughn-1391,9505,Deuce Vaughn,RB,HOU,exact,exact
Deven Thompkins,0,,,8253,Deven Thompkins,WR,LV,no_ktc,exact
Devin Duvernay,0,,,6847,Devin Duvernay,WR,ARI,no_ktc,exact
Devin Singletary,0,238,devin-singletary-238,6130,Devin Singletary,RB,NYG,exact,exact
Devontez Walker,0,1592,devontez-walker-1592,11629,Devontez Walker,WR,BAL,exact,exact
Diontae Johnson,0,,,5937,Diontae Johnson,WR,,no_ktc,exact
Donald Parham,0,,,6074,Donald Parham,TE,,no_ktc,exact
Donovan Peoples-Jones,0,,,6824,Donovan Peoples-Jones,WR,,no_ktc,exact
Dontayvion Wicks,0,1448,dontayvion-wicks-1448,9486,Dontayvion Wicks,WR,PHI,exact,exact
Dorian Thompson-Robinson,0,,,10862,Dorian Thompson-Robinson,QB,,no_ktc,exact
Drake London,0,1268,drake-london-1268,8112,Drake London,WR,ATL,exact,exact
Drake Maye,0,1551,drake-maye-1551,11564,Drake Maye,QB,NEP,exact,exact
Drew Lock,0,33,drew-lock-33,5854,Drew Lock,QB,SEA,exact,exact
Drew Sample,0,,,6001,Drew Sample,TE,CIN,no_ktc,exact
Durham Smythe,0,,,5008,Durham Smythe,TE,BAL,no_ktc,exact
Dyami Brown,0,1069,dyami-brown-1069,7587,Dyami Brown,WR,WAS,exact,exact
Elijah Higgins,0,1469,elijah-higgins-1469,10231,Elijah Higgins,TE,ARI,exact,exact
Elijah Mitchell,0,,,7561,Elijah Mitchell,RB,,no_ktc,exact
Elijah Moore,0,1012,elijah-moore-1012,7596,Elijah Moore,WR,PHI,exact,exact
Emanuel Wilson,0,1515,emanuel-wilson-1515,11435,Emanuel Wilson,RB,SEA,exact,exact
Emari Demercado,0,1481,emari-demercado-1481,11199,Emari Demercado,RB,KCC,exact,exact
Eno Benjamin,0,,,6951,Eno Benjamin,RB,,no_ktc,exact
Equanimeous St. Brown,0,,,5323,Equanimeous St. Brown,WR,,no_ktc,exact
Eric Gray,0,,,10223,Eric Gray,RB,NYG,no_ktc,exact
Erik Ezukanma,0,,,8114,Erik Ezukanma,WR,PHI,no_ktc,exact
Evan Engram,0,229,evan-engram-229,4066,Evan Engram,TE,DEN,exact,exact
Evan Hull,0,,,9220,Evan Hull,RB,ARI,no_ktc,exact
Ezekiel Elliott,0,,,3164,Ezekiel Elliott,RB,,no_ktc,exact
Foster Moreau,0,179,foster-moreau-179,5985,Foster Moreau,TE,HOU,exact,exact
Frank Gore Jr.,0,1570,frank-gore-jr-1570,11573,Frank Gore,RB,BUF,exact,normalised
Gabriel Davis,0,533,gabriel-davis-533,6943,Gabe Davis,WR,BUF,exact,alias
Gardner Minshew,0,47,gardner-minshew-47,6011,Gardner Minshew,QB,ARI,exact,exact
Garrett Wilson,0,1270,garrett-wilson-1270,8146,Garrett Wilson,WR,NYJ,exact,exact
Gary Brightwell,0,,,7529,Gary Brightwell,RB,CIN,no_ktc,exact
Geno Smith,0,671,geno-smith-671,1373,Geno Smith,QB,NYJ,exact,exact
George Kittle,0,298,george-kittle-298,4217,George Kittle,TE,SFO,exact,exact
George Pickens,0,1279,george-pickens-1279,8137,George Pickens,WR,DAL,exact,exact
Gerald Everett,0,,,4089,Gerald Everett,TE,,no_ktc,exact
Greg Dortch,0,10,greg-dortch-10,5970,Greg Dortch,WR,DET,exact,exact
Greg Dulcich,0,1256,greg-dulcich-1256,8172,Greg Dulcich,TE,MIA,exact,exact
Gus Edwards,0,,,5248,Gus Edwards,RB,,no_ktc,exact
Harrison Bryant,0,,,6850,Harrison Bryant,TE,,no_ktc,exact
Hassan Haskins,0,1191,hassan-haskins-1191,8123,Hassan Haskins,RB,NEP,exact,exact
Hayden Hurst,0,,,4973,Hayden Hurst,TE,,no_ktc,exact
Hendon Hooker,0,,,9998,Hendon Hooker,QB,TEN,no_ktc,exact
Hunter Henry,0,212,hunter-henry-212,3214,Hunter Henry,TE,NEP,exact,exact
Hunter Long,0,,,7535,Hunter Long,TE,JAX,no_ktc,exact
Hunter Renfrow,0,,,5955,Hunter Renfrow,WR,,no_ktc,exact
Ian Thomas,0,,,4995,Ian Thomas,TE,LV,no_ktc,exact
Ihmir Smith-Marsette,0,,,7559,Ihmir Smith-Marsette,WR,ARI,no_ktc,exact
Irv Smith,0,,,6126,Irv Smith,TE,,no_ktc,exact
Isaiah Hodgins,0,561,isaiah-hodgins-561,6920,Isaiah Hodgins,WR,NYG,exact,exact
Isaiah Likely,0,1257,isaiah-likely-1257,8131,Isaiah Likely,TE,NYG,exact,exact
Isaiah McKenzie,0,,,4197,Isaiah McKenzie,WR,,no_ktc,exact
Isaiah Spiller,0,,,8153,Isaiah Spiller,RB,,no_ktc,exact
Isiah Pacheco,0,1266,isiah-pacheco-1266,8205,Isiah Pacheco,RB,DET,exact,exact
Israel Abanikanda,0,1383,israel-abanikanda-1383,9227,Israel Abanikanda,RB,DAL,exact,exact
J.J. McCarthy,0,1555,jj-mccarthy-1555,11565,J.J. McCarthy,QB,MIN,exact,exact
J.K. Dobbins,0,636,jk-dobbins-636,6806,J.K. Dobbins,RB,DEN,exact,exact
Ja'Lynn Polk,0,,,11619,Ja'Lynn Polk,WR,,no_ktc,exact
Ja'Marr Chase,0,1004,ja-marr-chase-1004,7564,Ja'Marr Chase,WR,CIN,exact,exact
Ja'Tavion Sanders,0,1614,ja-tavion-sanders-1614,11600,Ja'Tavion Sanders,TE,CAR,exact,exact
Jacoby Brissett,0,20,jacoby-brissett-20,3257,Jacoby Brissett,QB,ARI,exact,exact
Jaelon Darden,0,,,7713,Jaelon Darden,WR,,no_ktc,exact
Jahan Dotson,0,1272,jahan-dotson-1272,8119,Jahan Dotson,WR,ATL,exact,exact
Jahmyr Gibbs,0,1415,jahmyr-gibbs-1415,9221,Jahmyr Gibbs,RB,DET,exact,exact
Jake Bobo,0,1488,jake-bobo-1488,10867,Jake Bobo,WR,SEA,exact,exact
Jake Browning,0,,,6111,Jake Browning,QB,TB,no_ktc,exact
Jake Ferguson,0,1258,jake-ferguson-1258,8110,Jake Ferguson,TE,DAL,exact,exact
Jake Haener,0,,,10215,Jake Haener,QB,NYG,no_ktc,exact
Jakobi Meyers,0,13,jakobi-meyers-13,5947,Jakobi Meyers,WR,JAC,exact,exact
Jaleel McLaughlin,0,1486,jaleel-mclaughlin-1486,11439,Jaleel McLaughlin,RB,DEN,exact,exact
Jalen Guyton,0,,,6421,Jalen Guyton,WR,,no_ktc,exact
Jalen Hurts,0,595,jalen-hurts-595,6904,Jalen Hurts,QB,PHI,exact,exact
Jalen McMillan,0,1599,jalen-mcmillan-1599,11618,Jalen McMillan,WR,TBB,exact,exact
Jalen Nailor,0,1245,jalen-nailor-1245,8180,Jalen Nailor,WR,LVR,exact,exact
Jalen Tolbert,0,1247,jalen-tolbert-1247,8117,Jalen Tolbert,WR,MIA,exact,exact
Jalin Hyatt,0,1399,jalin-hyatt-1399,9497,Jalin Hyatt,WR,NYG,exact,exact
Jamaal Williams,0,,,4149,Jamaal Williams,RB,,no_ktc,exact
Jamal Agnew,0,,,4198,Jamal Agnew,WR,,no_ktc,exact
Jameis Winston,0,413,jameis-winston-413,2306,Jameis Winston,QB,NYG,exact,exact
James Conner,0,268,james-conner-268,4137,James Conner,RB,ARI,exact,exact
James Cook,0,1231,james-cook-1231,8138,James Cook,RB,BUF,exact,exact
James Robinson,0,,,6955,James Robinson,RB,,no_ktc,exact
Jameson Williams,0,1273,jameson-williams-1273,8148,Jameson Williams,WR,DET,exact,exact
Jared Goff,0,388,jared-goff-388,3163,Jared Goff,QB,DET,exact,exact
Jaren Hall,0,,,9231,Jaren Hall,QB,,no_ktc,exact
Jarrett Stidham,0,,,6136,Jarrett Stidham,QB,DEN,no_ktc,exact
Jase McClellan,0,,,11590,Jase McClellan,RB,,no_ktc,exact
Jason Brownlee,0,,,11311,Jason Brownlee,WR,KC,no_ktc,exact
Jauan Jennings,0,576,jauan-jennings-576,7049,Jauan Jennings,WR,MIN,exact,exact
Javon Baker,0,1608,javon-baker-1608,11645,Javon Baker,WR,SFO,exact,exact
Javonte Williams,0,1033,javonte-williams-1033,7588,Javonte Williams,RB,DAL,exact,exact
Jaxon Smith-Njigba,0,1437,jaxon-smith-njigba-1437,9488,Jaxon Smith-Njigba,WR,SEA,exact,exact
Jayden Daniels,0,1552,jayden-daniels-1552,11566,Jayden Daniels,QB,WAS,exact,exact
Jayden Reed,0,1419,jayden-reed-1419,10222,Jayden Reed,WR,GBP,exact,exact
Jaylen Waddle,0,1007,jaylen-waddle-1007,7526,Jaylen Waddle,WR,DEN,exact,exact
Jaylen Warren,0,1201,jaylen-warren-1201,8228,Jaylen Warren,RB,PIT,exact,exact
Jaylen Wright,0,1581,jaylen-wright-1581,11643,Jaylen Wright,RB,MIA,exact,exact
Jeffery Wilson,0,,,5284,Jeff Wilson,RB,,no_ktc,alias
Jelani Woods,0,,,8219,Jelani Woods,TE,NYJ,no_ktc,exact
Jeremy Ruckert,0,1255,jeremy-ruckert-1255,8145,Jeremy Ruckert,TE,NYJ,exact,exact
Jerick McKinnon,0,,,2161,Jerick McKinnon,RB,,no_ktc,exact
Jermaine Burton,0,,,11640,Jermaine Burton,WR,,no_ktc,exact
Jerome Ford,0,1229,jerome-ford-1229,8143,Jerome Ford,RB,FA,exact,exact
Jerry Jeudy,0,545,jerry-jeudy-545,6783,Jerry Jeudy,WR,CLE,exact,exact
Jimmy Garoppolo,0,,,1837,Jimmy Garoppolo,QB,,no_ktc,exact
Joe Burrow,0,601,joe-burrow-601,6770,Joe Burrow,QB,CIN,exact,exact
Joe Flacco,0,722,joe-flacco-722,19,Joe Flacco,QB,CIN,exact,exact
Joe Milton,0,1556,joe-milton-1556,11557,Joe Milton,QB,DAL,exact,exact
Joe Mixon,0,,,4018,Joe Mixon,RB,,no_ktc,exact
John Bates,0,,,7716,John Bates,TE,WAS,no_ktc,exact
John Metchie,0,1276,john-metchie-1276,8147,John Metchie,WR,CAR,exact,exact
Johnny Wilson,0,1596,johnny-wilson-1596,11636,Johnny Wilson,WR,PHI,exact,exact
Jonathan Mingo,0,1450,jonathan-mingo-1450,10225,Jonathan Mingo,WR,DAL,exact,exact
Jonathan Taylor,0,634,jonathan-taylor-634,6813,Jonathan Taylor,RB,IND,exact,exact
Jonathon Brooks,0,1568,jonathon-brooks-1568,11583,Jonathon Brooks,RB,CAR,exact,exact
Jonnu Smith,0,,,4144,Jonnu Smith,TE,,no_ktc,exact
Jordan Addison,0,1420,jordan-addison-1420,9756,Jordan Addison,WR,MIN,exact,exact
Jordan Love,0,596,jordan-love-596,6804,Jordan Love,QB,GBP,exact,exact
Jordan Mason,0,1330,jordan-mason-1330,8408,Jordan Mason,RB,MIN,exact,exact
Jordan Travis,0,,,11567,Jordan Travis,QB,,no_ktc,exact
Josh Allen,0,365,josh-allen-365,4984,Josh Allen,QB,BUF,exact,exact
Josh Downs,0,1440,josh-downs-1440,9500,Josh Downs,WR,IND,exact,exact
Josh Jacobs,0,303,josh-jacobs-303,5850,Josh Jacobs,RB,GBP,exact,exact
Josh Oliver,0,,,5973,Josh Oliver,TE,MIN,no_ktc,exact
Josh Palmer,0,,,7670,Joshua Palmer,WR,BUF,no_ktc,alias
Josh Reynolds,0,,,4171,Josh Reynolds,WR,,no_ktc,exact
Joshua Dobbs,0,,,4179,Joshua Dobbs,QB,DET,no_ktc,exact
Joshua Kelley,0,,,7045,Joshua Kelley,RB,,no_ktc,exact
JuJu Smith-Schuster,0,,,4040,JuJu Smith-Schuster,WR,,no_ktc,exact
Julius Chestnut,0,1325,julius-chestnut-1325,8254,Julius Chestnut,RB,TEN,exact,exact
Justice Hill,0,368,justice-hill-368,5995,Justice Hill,RB,BAL,exact,exact
Justin Fields,0,1015,justin-fields-1015,7591,Justin Fields,QB,KCC,exact,exact
Justin Herbert,0,599,justin-herbert-599,6797,Justin Herbert,QB,LAC,exact,exact
Justin Jefferson,0,542,justin-jefferson-542,6794,Justin Jefferson,WR,MIN,exact,exact
Justin Shorter,0,,,9489,Justin Shorter,WR,LV,no_ktc,exact
Justin Watson,0,,,5374,Justin Watson,WR,HOU,no_ktc,exact
Justyn Ross,0,,,8140,Justyn Ross,WR,,no_ktc,exact
Juwan Johnson,0,575,juwan-johnson-575,7002,Juwan Johnson,TE,NOS,exact,exact
K.J. Osborn,0,,,7066,K.J. Osborn,WR,TEN,no_ktc,exact
KJ Hamler,0,,,6805,KJ Hamler,WR,,no_ktc,exact
KaVontae Turpin,0,1336,kavontae-turpin-1336,8917,KaVontae Turpin,WR,DAL,exact,exact
Kadarius Toney,0,,,7606,Kadarius Toney,WR,,no_ktc,exact
Kalif Raymond,0,,,3634,Kalif Raymond,WR,CHI,no_ktc,exact
Kareem Hunt,0,,,4098,Kareem Hunt,RB,,no_ktc,exact
Kayshon Boutte,0,1446,kayshon-boutte-1446,9504,Kayshon Boutte,WR,HOU,exact,exact
Ke'Shawn Vaughn,0,,,6885,Ke'Shawn Vaughn,RB,,no_ktc,exact
Keaontay Ingram,0,,,8221,Keaontay Ingram,RB,,no_ktc,exact
Keaton Mitchell,0,1393,keaton-mitchell-1393,9511,Keaton Mitchell,RB,LAC,exact,exact
Keenan Allen,0,265,keenan-allen-265,1479,Keenan Allen,WR,IND,exact,exact
Kendre Miller,0,1386,kendre-miller-1386,9757,Kendre Miller,RB,NOS,exact,exact
Kendrick Bourne,0,153,kendrick-bourne-153,4454,Kendrick Bourne,WR,ARI,exact,exact
Kene Nwangwu,0,,,7720,Kene Nwangwu,RB,NYJ,no_ktc,exact
Kenneth Gainwell,0,1032,kenneth-gainwell-1032,,,RB,TBB,exact,no_match
Kenneth Walker III,0,1227,kenneth-walker-iii-1227,8151,Kenneth Walker,RB,KCC,exact,normalised
Kenny McIntosh,0,,,10216,Kenny McIntosh,RB,,no_ktc,exact
Kenny Pickett,0,1208,kenny-pickett-1208,8160,Kenny Pickett,QB,CAR,exact,exact
Keon Coleman,0,1588,keon-coleman-1588,11637,Keon Coleman,WR,BUF,exact,exact
Kevin Harris,0,,,8174,Kevin Harris,RB,,no_ktc,exact
Khalil Herbert,0,994,khalil-herbert-994,7608,Khalil Herbert,RB,SFO,exact,exact
Khalil Shakir,0,1278,khalil-shakir-1278,8134,Khalil Shakir,WR,BUF,exact,exact
