metric,position,rank_higher,rank_lower,label,average_delta,day_count
overall,OVERALL,60,61,Overall60_vs_Overall61,33.26,2266
overall,OVERALL,61,62,Overall61_vs_Overall62,41.54,2266
overall,OVERALL,62,63,Overall62_vs_Overall63,51.98,2266
overall,OVERALL,63,64,Overall63_vs_Overall64,41.61,2266
overall,OVERALL,64,65,Overall64_vs_Overall65,40.82,2266
overall,OVERALL,65,66,Overall65_vs_Overall66,38.65,2266
overall,OVERALL,66,67,Overall66_vs_Overall67,38.52,2266
overall,OVERALL,67,68,Overall67_vs_Overall68,39.99,2266
overall,OVERALL,68,69,Overall68_vs_Overall69,42.76,2266
overall,OVERALL,69,70,Overall69_vs_Overall70,50.13,2266
overall,OVERALL,70,71,Overall70_vs_Overall71,43.8,2266
overall,OVERALL,71,72,Overall71_vs_Overall72,44.47,2266
overall,OVERALL,72,73,Overall72_vs_Overall73,44.69,2266
overall,OVERALL,73,74,Overall73_vs_Overall74,38.17,2266
overall,OVERALL,74,75,Overall74_vs_Overall75,34.24,2266
overall,OVERALL,75,76,Overall75_vs_Overall76,36.13,2266
overall,OVERALL,76,77,Overall76_vs_Overall77,35.14,2266
overall,OVERALL,77,78,Overall77_vs_Overall78,33.89,2266
overall,OVERALL,78,79,Overall78_vs_Overall79,33.09,2266
overall,OVERALL,79,80,Overall79_vs_Overall80,34.01,2266
overall,OVERALL,80,81,Overall80_vs_Overall81,36.12,2266
overall,OVERALL,81,82,Overall81_vs_Overall82,33.54,2266
overall,OVERALL,82,83,Overall82_vs_Overall83,33.4,2266
overall,OVERALL,83,84,Overall83_vs_Overall84,31.32,2266
overall,OVERALL,84,85,Overall84_vs_Overall85,31.53,2266
overall,OVERALL,85,86,Overall85_vs_Overall86,34.62,2266
overall,OVERALL,86,87,Overall86_vs_Overall87,32.1,2266
overall,OVERALL,87,88,Overall87_vs_Overall88,35.09,2266
overall,OVERALL,88,89,Overall88_vs_Overall89,35.43,2266
overall,OVERALL,89,90,Overall89_vs_Overall90,36.05,2266
overall,OVERALL,90,91,Overall90_vs_Overall91,31.85,2266
overall,OVERALL,91,92,Overall91_vs_Overall92,31.79,2266
overall,OVERALL,92,93,Overall92_vs_Overall93,36.57,2266
overall,OVERALL,93,94,Overall93_vs_Overall94,32.79,2266
overall,OVERALL,94,95,Overall94_vs_Overall95,34.59,2266
overall,OVERALL,95,96,Overall95_vs_Overall96,32.09,2266
overall,OVERALL,96,97,Overall96_vs_Overall97,30.67,2266
overall,OVERALL,97,98,Overall97_vs_Overall98,28.76,2266
overall,OVERALL,98,99,Overall98_vs_Overall99,28.58,2266
overall,OVERALL,99,100,Overall99_vs_Overall100,28.58,2266
overall,OVERALL,100,101,Overall100_vs_Overall101,31.28,2266
overall,OVERALL,101,102,Overall101_vs_Overall102,27.19,2266
overall,OVERALL,102,103,Overall102_vs_Overall103,29.18,2266
overall,OVERALL,103,104,Overall103_vs_Overall104,29.24,2266
overall,OVERALL,104,105,Overall104_vs_Overall105,28.12,2266
overall,OVERALL,105,106,Overall105_vs_Overall106,28.05,2266
overall,OVERALL,106,107,Overall106_vs_Overall107,27.38,2266
overall,OVERALL,107,108,Overall107_vs_Overall108,26.74,2266
overall,OVERALL,108,109,Overall108_vs_Overall109,27.41,2266
overall,OVERALL,109,110,Overall109_vs_Overall110,28.34,2266
overall,OVERALL,110,111,Overall110_vs_Overall111,27.22,2266
overall,OVERALL,111,112,Overall111_vs_Overall112,25.5,2266
overall,OVERALL,112,113,Overall112_vs_Overall113,21.57,2266
overall,OVERALL,113,114,Overall113_vs_Overall114,23.56,2266
overall,OVERALL,114,115,Overall114_vs_Overall115,23.65,2266
overall,OVERALL,115,116,Overall115_vs_Overall116,25.26,2266
overall,OVERALL,116,117,Overall116_vs_Overall117,25.91,2266
overall,OVERALL,117,118,Overall117_vs_Overall118,26.66,2266
overall,OVERALL,118,119,Overall118_vs_Overall119,28.38,2266
overall,OVERALL,119,120,Overall119_vs_Overall120,24.89,2266
overall,OVERALL,120,121,Overall120_vs_Overall121,25.18,2266
overall,OVERALL,121,122,Overall121_vs_Overall122,25.15,2266
overall,OVERALL,122,123,Overall122_vs_Overall123,22.05,2266
overall,OVERALL,123,124,Overall123_vs_Overall124,24.19,2266
overall,OVERALL,124,125,Overall124_vs_Overall125,25.61,2266
overall,OVERALL,125,126,Overall125_vs_Overall126,24.02,2266
overall,OVERALL,126,127,Overall126_vs_Overall127,23.58,2266
overall,OVERALL,127,128,Overall127_vs_Overall128,24.74,2266
overall,OVERALL,128,129,Overall128_vs_Overall129,26.06,2266
overall,OVERALL,129,130,Overall129_vs_Overall130,24.3,2266
overall,OVERALL,130,131,Overall130_vs_Overall131,22.09,2266
overall,OVERALL,131,132,Overall131_vs_Overall132,22.07,2266
overall,OVERALL,132,133,Overall132_vs_Overall133,22.61,2266
overall,OVERALL,133,134,Overall133_vs_Overall134,24.27,2260
overall,OVERALL,134,135,Overall134_vs_Overall135,21.69,2260
overall,OVERALL,135,136,Overall135_vs_Overall136,22.73,2260
overall,OVERALL,136,137,Overall136_vs_Overall137,22.94,2260
overall,OVERALL,137,138,Overall137_vs_Overall138,22.76,2260
overall,OVERALL,138,139,Overall138_vs_Overall139,25.93,2260
overall,OVERALL,139,140,Overall139_vs_Overall140,25.12,2260
overall,OVERALL,140,141,Overall140_vs_Overall141,23.18,2260
overall,OVERALL,141,142,Overall141_vs_Overall142,22.22,2260
overall,OVERALL,142,143,Overall142_vs_Overall143,22.72,2260
overall,OVERALL,143,144,Overall143_vs_Overall144,20.99,2260
overall,OVERALL,144,145,Overall144_vs_Overall145,22.0,2260
overall,OVERALL,145,146,Overall145_vs_Overall146,21.41,2260
overall,OVERALL,146,147,Overall146_vs_Overall147,19.75,2260
overall,OVERALL,147,148,Overall147_vs_Overall148,20.5,2260
overall,OVERALL,148,149,Overall148_vs_Overall149,21.62,2260
overall,OVERALL,149,150,Overall149_vs_Overall150,19.88,2260
overall,OVERALL,150,151,Overall150_vs_Overall151,20.63,2260
overall,OVERALL,151,152,Overall151_vs_Overall152,22.72,2260
overall,OVERALL,152,153,Overall152_vs_Overall153,21.32,2260
overall,OVERALL,153,154,Overall153_vs_Overall154,21.72,2260
overall,OVERALL,154,155,Overall154_vs_Overall155,21.03,2260
overall,OVERALL,155,156,Overall155_vs_Overall156,19.96,2260
overall,OVERALL,156,157,Overall156_vs_Overall157,19.56,2260
overall,OVERALL,157,158,Overall157_vs_Overall158,19.67,2260
overall,OVERALL,158,159,Overall158_vs_Overall159,18.59,2260
overall,OVERALL,159,160,Overall159_vs_Overall160,16.99,2260
overall,OVERALL,160,161,Overall160_vs_Overall161,17.13,2260
overall,OVERALL,161,162,Overall161_vs_Overall162,17.17,2260
overall,OVERALL,162,163,Overall162_vs_Overall163,16.25,2260
overall,OVERALL,163,164,Overall163_vs_Overall164,17.22,2260
overall,OVERALL,164,165,Overall164_vs_Overall165,17.53,2260
overall,OVERALL,165,166,Overall165_vs_Overall166,16.19,2260
overall,OVERALL,166,167,Overall166_vs_Overall167,16.38,2211
overall,OVERALL,167,168,Overall167_vs_Overall168,16.12,2211
overall,OVERALL,168,169,Overall168_vs_Overall169,17.16,2211
overall,OVERALL,169,170,Overall169_vs_Overall170,16.16,2211
overall,OVERALL,170,171,Overall170_vs_Overall171,15.92,2211
overall,OVERALL,171,172,Overall171_vs_Overall172,16.96,2211
overall,OVERALL,172,173,Overall172_vs_Overall173,16.57,2211
overall,OVERALL,173,174,Overall173_vs_Overall174,16.09,2211
overall,OVERALL,174,175,Overall174_vs_Overall175,14.01,2211
overall,OVERALL,175,176,Overall175_vs_Overall176,16.56,2211
overall,OVERALL,176,177,Overall176_vs_Overall177,15.63,2211
overall,OVERALL,177,178,Overall177_vs_Overall178,15.03,2211
overall,OVERALL,178,179,Overall178_vs_Overall179,15.39,2211
overall,OVERALL,179,180,Overall179_vs_Overall180,15.01,2211
overall,OVERALL,180,181,Overall180_vs_Overall181,15.87,2211
overall,OVERALL,181,182,Overall181_vs_Overall182,14.53,2211
overall,OVERALL,182,183,Overall182_vs_Overall183,15.05,2211
overall,OVERALL,183,184,Overall183_vs_Overall184,15.74,2211
overall,OVERALL,184,185,Overall184_vs_Overall185,15.16,2211
overall,OVERALL,185,186,Overall185_vs_Overall186,14.12,2211
overall,OVERALL,186,187,Overall186_vs_Overall187,14.26,2211
overall,OVERALL,187,188,Overall187_vs_Overall188,15.42,2211
overall,OVERALL,188,189,Overall188_vs_Overall189,16.14,2211
overall,OVERALL,189,190,Overall189_vs_Overall190,12.45,2211
overall,OVERALL,190,191,Overall190_vs_Overall191,13.22,2211
overall,OVERALL,191,192,Overall191_vs_Overall192,12.94,2211
overall,OVERALL,192,193,Overall192_vs_Overall193,12.85,2211
overall,OVERALL,193,194,Overall193_vs_Overall194,12.72,2211
overall,OVERALL,194,195,Overall194_vs_Overall195,12.34,2211
overall,OVERALL,195,196,Overall195_vs_Overall196,11.98,2211
overall,OVERALL,196,197,Overall196_vs_Overall197,12.98,2211
overall,OVERALL,197,198,Overall197_vs_Overall198,12.88,2211
overall,OVERALL,198,199,Overall198_vs_Overall199,11.71,2211
overall,OVERALL,199,200,Overall199_vs_Overall200,11.68,2211
overall,OVERALL,200,201,Overall200_vs_Overall201,11.27,2211
overall,OVERALL,201,202,Overall201_vs_Overall202,10.9,2211
overall,OVERALL,202,203,Overall202_vs_Overall203,11.33,2211
overall,OVERALL,203,204,Overall203_vs_Overall204,11.1,2211
overall,OVERALL,204,205,Overall204_vs_Overall205,11.16,2211
overall,OVERALL,205,206,Overall205_vs_Overall206,12.21,2210
overall,OVERALL,206,207,Overall206_vs_Overall207,11.97,2210
overall,OVERALL,207,208,Overall207_vs_Overall208,11.32,2210
overall,OVERALL,208,209,Overall208_vs_Overall209,10.48,2210
overall,OVERALL,209,210,Overall209_vs_Overall210,10.81,2170
overall,OVERALL,210,211,Overall210_vs_Overall211,12.4,2082
overall,OVERALL,211,212,Overall211_vs_Overall212,13.81,1996
overall,OVERALL,212,213,Overall212_vs_Overall213,12.32,1992
overall,OVERALL,213,214,Overall213_vs_Overall214,12.61,1915
overall,OVERALL,214,215,Overall214_vs_Overall215,14.58,1915
overall,OVERALL,215,216,Overall215_vs_Overall216,12.89,1915
overall,OVERALL,216,217,Overall216_vs_Overall217,14.66,1915
overall,OVERALL,217,218,Overall217_vs_Overall218,13.66,1913
overall,OVERALL,218,219,Overall218_vs_Overall219,15.27,1909
overall,OVERALL,219,220,Overall219_vs_Overall220,16.75,1909
overall,OVERALL,220,221,Overall220_vs_Overall221,15.43,1909
overall,OVERALL,221,222,Overall221_vs_Overall222,14.29,1909
overall,OVERALL,222,223,Overall222_vs_Overall223,11.39,1909
overall,OVERALL,223,224,Overall223_vs_Overall224,11.94,1909
overall,OVERALL,224,225,Overall224_vs_Overall225,9.62,1909
overall,OVERALL,225,226,Overall225_vs_Overall226,10.66,1909
overall,OVERALL,226,227,Overall226_vs_Overall227,12.18,1909
overall,OVERALL,227,228,Overall227_vs_Overall228,12.47,1909
overall,OVERALL,228,229,Overall228_vs_Overall229,11.05,1909
overall,OVERALL,229,230,Overall229_vs_Overall230,9.46,1909
overall,OVERALL,230,231,Overall230_vs_Overall231,8.8,1909
overall,OVERALL,231,232,Overall231_vs_Overall232,7.65,1909
overall,OVERALL,232,233,Overall232_vs_Overall233,7.69,1909
overall,OVERALL,233,234,Overall233_vs_Overall234,7.24,1909
overall,OVERALL,234,235,Overall234_vs_Overall235,7.6,1909
overall,OVERALL,235,236,Overall235_vs_Overall236,7.23,1909
overall,OVERALL,236,237,Overall236_vs_Overall237,6.9,1909
overall,OVERALL,237,238,Overall237_vs_Overall238,6.57,1909
overall,OVERALL,238,239,Overall238_vs_Overall239,7.36,1909
overall,OVERALL,239,240,Overall239_vs_Overall240,7.09,1909
overall,OVERALL,240,241,Overall240_vs_Overall241,6.89,1909
overall,OVERALL,241,242,Overall241_vs_Overall242,6.82,1909
overall,OVERALL,242,243,Overall242_vs_Overall243,6.63,1909
overall,OVERALL,243,244,Overall243_vs_Overall244,7.34,1909
overall,OVERALL,244,245,Overall244_vs_Overall245,6.98,1909
overall,OVERALL,245,246,Overall245_vs_Overall246,7.19,1909
overall,OVERALL,246,247,Overall246_vs_Overall247,7.23,1909
overall,OVERALL,247,248,Overall247_vs_Overall248,7.71,1909
overall,OVERALL,248,249,Overall248_vs_Overall249,7.52,1909
overall,OVERALL,249,250,Overall249_vs_Overall250,8.17,1909
overall,OVERALL,250,251,Overall250_vs_Overall251,7.83,1909
overall,OVERALL,251,252,Overall251_vs_Overall252,8.29,1909
overall,OVERALL,252,253,Overall252_vs_Overall253,7.88,1909
overall,OVERALL,253,254,Overall253_vs_Overall254,8.13,1909
overall,OVERALL,254,255,Overall254_vs_Overall255,7.65,1909
overall,OVERALL,255,256,Overall255_vs_Overall256,7.59,1868
overall,OVERALL,256,257,Overall256_vs_Overall257,7.38,1868
overall,OVERALL,257,258,Overall257_vs_Overall258,7.21,1868
overall,OVERALL,258,259,Overall258_vs_Overall259,7.02,1868
overall,OVERALL,259,260,Overall259_vs_Overall260,7.92,1868
overall,OVERALL,260,261,Overall260_vs_Overall261,7.93,1689
overall,OVERALL,261,262,Overall261_vs_Overall262,9.03,1569
overall,OVERALL,262,263,Overall262_vs_Overall263,8.47,1569
overall,OVERALL,263,264,Overall263_vs_Overall264,8.37,1569
overall,OVERALL,264,265,Overall264_vs_Overall265,8.71,1569
overall,OVERALL,265,266,Overall265_vs_Overall266,10.31,1569
overall,OVERALL,266,267,Overall266_vs_Overall267,10.0,1569
overall,OVERALL,267,268,Overall267_vs_Overall268,9.85,1569
overall,OVERALL,268,269,Overall268_vs_Overall269,8.86,1569
overall,OVERALL,269,270,Overall269_vs_Overall270,9.53,1569
overall,OVERALL,270,271,Overall270_vs_Overall271,9.61,1569
overall,OVERALL,271,272,Overall271_vs_Overall272,8.84,1569
overall,OVERALL,272,273,Overall272_vs_Overall273,9.46,1569
overall,OVERALL,273,274,Overall273_vs_Overall274,10.36,1569
overall,OVERALL,274,275,Overall274_vs_Overall275,8.54,1569
overall,OVERALL,275,276,Overall275_vs_Overall276,10.96,1569
overall,OVERALL,276,277,Overall276_vs_Overall277,10.22,1569
overall,OVERALL,277,278,Overall277_vs_Overall278,11.37,1569
overall,OVERALL,278,279,Overall278_vs_Overall279,10.15,1569
overall,OVERALL,279,280,Overall279_vs_Overall280,11.79,1569
overall,OVERALL,280,281,Overall280_vs_Overall281,10.48,1569
overall,OVERALL,281,282,Overall281_vs_Overall282,9.94,1569
overall,OVERALL,282,283,Overall282_vs_Overall283,9.11,1569
overall,OVERALL,283,284,Overall283_vs_Overall284,9.23,1569
overall,OVERALL,284,285,Overall284_vs_Overall285,9.64,1569
overall,OVERALL,285,286,Overall285_vs_Overall286,8.84,1569
overall,OVERALL,286,287,Overall286_vs_Overall287,8.67,1569
overall,OVERALL,287,288,Overall287_vs_Overall288,8.74,1569
overall,OVERALL,288,289,Overall288_vs_Overall289,9.46,1569
overall,OVERALL,289,290,Overall289_vs_Overall290,9.38,1565
overall,OVERALL,290,291,Overall290_vs_Overall291,8.49,1555
overall,OVERALL,291,292,Overall291_vs_Overall292,9.14,1546
overall,OVERALL,292,293,Overall292_vs_Overall293,9.22,1544
overall,OVERALL,293,294,Overall293_vs_Overall294,8.89,1543
overall,OVERALL,294,295,Overall294_vs_Overall295,10.04,1536
overall,OVERALL,295,296,Overall295_vs_Overall296,7.84,1535
overall,OVERALL,296,297,Overall296_vs_Overall297,9.77,1530
overall,OVERALL,297,298,Overall297_vs_Overall298,9.28,1528
overall,OVERALL,298,299,Overall298_vs_Overall299,7.72,1528
overall,OVERALL,299,300,Overall299_vs_Overall300,9.1,1528
overall,OVERALL,300,301,Overall300_vs_Overall301,7.9,1528
overall,OVERALL,301,302,Overall301_vs_Overall302,8.9,1528
overall,OVERALL,302,303,Overall302_vs_Overall303,10.02,1520
overall,OVERALL,303,304,Overall303_vs_Overall304,8.49,1518
overall,OVERALL,304,305,Overall304_vs_Overall305,11.03,1501
overall,OVERALL,305,306,Overall305_vs_Overall306,10.89,1480
overall,OVERALL,306,307,Overall306_vs_Overall307,7.11,1472
overall,OVERALL,307,308,Overall307_vs_Overall308,6.61,1449
overall,OVERALL,308,309,Overall308_vs_Overall309,6.87,1448
overall,OVERALL,309,310,Overall309_vs_Overall310,7.04,1448
overall,OVERALL,310,311,Overall310_vs_Overall311,7.99,1448
overall,OVERALL,311,312,Overall311_vs_Overall312,6.4,1448
overall,OVERALL,312,313,Overall312_vs_Overall313,6.52,1448
overall,OVERALL,313,314,Overall313_vs_Overall314,6.49,1448
overall,OVERALL,314,315,Overall314_vs_Overall315,5.91,1448
overall,OVERALL,315,316,Overall315_vs_Overall316,6.24,1448
overall,OVERALL,316,317,Overall316_vs_Overall317,6.26,1448
overall,OVERALL,317,318,Overall317_vs_Overall318,7.67,1448
overall,OVERALL,318,319,Overall318_vs_Overall319,6.54,1448
overall,OVERALL,319,320,Overall319_vs_Overall320,6.77,1448
overall,OVERALL,320,321,Overall320_vs_Overall321,6.0,1448
overall,OVERALL,321,322,Overall321_vs_Overall322,5.84,1408
overall,OVERALL,322,323,Overall322_vs_Overall323,5.89,1408
overall,OVERALL,323,324,Overall323_vs_Overall324,6.37,1384
overall,OVERALL,324,325,Overall324_vs_Overall325,5.7,1384
overall,OVERALL,325,326,Overall325_vs_Overall326,5.19,1384
overall,OVERALL,326,327,Overall326_vs_Overall327,5.19,1384
overall,OVERALL,327,328,Overall327_vs_Overall328,5.41,1384
overall,OVERALL,328,329,Overall328_vs_Overall329,5.9,1373
overall,OVERALL,329,330,Overall329_vs_Overall330,5.82,1361
overall,OVERALL,330,331,Overall330_vs_Overall331,5.58,1353
overall,OVERALL,331,332,Overall331_vs_Overall332,6.05,1342
overall,OVERALL,332,333,Overall332_vs_Overall333,5.34,1295
overall,OVERALL,333,334,Overall333_vs_Overall334,5.08,1273
overall,OVERALL,334,335,Overall334_vs_Overall335,5.6,1219
overall,OVERALL,335,336,Overall335_vs_Overall336,5.93,1074
overall,OVERALL,336,337,Overall336_vs_Overall337,5.54,1054
overall,OVERALL,337,338,Overall337_vs_Overall338,5.93,1023
overall,OVERALL,338,339,Overall338_vs_Overall339,6.04,983
overall,OVERALL,339,340,Overall339_vs_Overall340,5.22,962
overall,OVERALL,340,341,Overall340_vs_Overall341,5.63,952
overall,OVERALL,341,342,Overall341_vs_Overall342,5.94,944
overall,OVERALL,342,343,Overall342_vs_Overall343,5.18,941
overall,OVERALL,343,344,Overall343_vs_Overall344,5.46,931
overall,OVERALL,344,345,Overall344_vs_Overall345,6.2,922
overall,OVERALL,345,346,Overall345_vs_Overall346,5.43,911
overall,OVERALL,346,347,Overall346_vs_Overall347,7.17,897
overall,OVERALL,347,348,Overall347_vs_Overall348,5.37,890
overall,OVERALL,348,349,Overall348_vs_Overall349,6.32,879
overall,OVERALL,349,350,Overall349_vs_Overall350,5.84,871
overall,OVERALL,350,351,Overall350_vs_Overall351,5.32,864
overall,OVERALL,351,352,Overall351_vs_Overall352,5.86,844
overall,OVERALL,352,353,Overall352_vs_Overall353,5.75,835
overall,OVERALL,353,354,Overall353_vs_Overall354,5.62,823
overall,OVERALL,354,355,Overall354_vs_Overall355,6.81,801
overall,OVERALL,355,356,Overall355_vs_Overall356,6.13,789
overall,OVERALL,356,357,Overall356_vs_Overall357,7.31,783
overall,OVERALL,357,358,Overall357_vs_Overall358,7.06,783
overall,OVERALL,358,359,Overall358_vs_Overall359,5.88,781
overall,OVERALL,359,360,Overall359_vs_Overall360,6.1,780
overall,OVERALL,360,361,Overall360_vs_Overall361,5.99,778
overall,OVERALL,361,362,Overall361_vs_Overall362,5.23,776
overall,OVERALL,362,363,Overall362_vs_Overall363,7.03,776
overall,OVERALL,363,364,Overall363_vs_Overall364,6.48,776
overall,OVERALL,364,365,Overall364_vs_Overall365,5.93,776
overall,OVERALL,365,366,Overall365_vs_Overall366,5.38,776
overall,OVERALL,366,367,Overall366_vs_Overall367,5.44,773
overall,OVERALL,367,368,Overall367_vs_Overall368,5.88,768
overall,OVERALL,368,369,Overall368_vs_Overall369,6.21,753
overall,OVERALL,369,370,Overall369_vs_Overall370,6.99,728
overall,OVERALL,370,371,Overall370_vs_Overall371,5.61,717
overall,OVERALL,371,372,Overall371_vs_Overall372,5.22,712
overall,OVERALL,372,373,Overall372_vs_Overall373,5.16,705
overall,OVERALL,373,374,Overall373_vs_Overall374,5.93,705
overall,OVERALL,374,375,Overall374_vs_Overall375,5.65,705
overall,OVERALL,375,376,Overall375_vs_Overall376,5.86,705
overall,OVERALL,376,377,Overall376_vs_Overall377,7.76,705
overall,OVERALL,377,378,Overall377_vs_Overall378,7.41,705
overall,OVERALL,378,379,Overall378_vs_Overall379,6.64,705
overall,OVERALL,379,380,Overall379_vs_Overall380,7.33,705
overall,OVERALL,380,381,Overall380_vs_Overall381,7.22,705
overall,OVERALL,381,382,Overall381_vs_Overall382,7.18,705
overall,OVERALL,382,383,Overall382_vs_Overall383,7.61,705
overall,OVERALL,383,384,Overall383_vs_Overall384,6.24,705
overall,OVERALL,384,385,Overall384_vs_Overall385,6.58,705
overall,OVERALL,385,386,Overall385_vs_Overall386,7.46,705
overall,OVERALL,386,387,Overall386_vs_Overall387,8.3,705
overall,OVERALL,387,388,Overall387_vs_Overall388,6.85,705
overall,OVERALL,388,389,Overall388_vs_Overall389,6.1,705
overall,OVERALL,389,390,Overall389_vs_Overall390,6.45,705
overall,OVERALL,390,391,Overall390_vs_Overall391,6.08,705
overall,OVERALL,391,392,Overall391_vs_Overall392,5.48,705
overall,OVERALL,392,393,Overall392_vs_Overall393,6.23,705
overall,OVERALL,393,394,Overall393_vs_Overall394,7.41,705
overall,OVERALL,394,395,Overall394_vs_Overall395,6.56,705
overall,OVERALL,395,396,Overall395_vs_Overall396,5.25,705
overall,OVERALL,396,397,Overall396_vs_Overall397,8.05,705
overall,OVERALL,397,398,Overall397_vs_Overall398,6.73,705
overall,OVERALL,398,399,Overall398_vs_Overall399,5.14,705
overall,OVERALL,399,400,Overall399_vs_Overall400,5.31,705
overall,OVERALL,400,401,Overall400_vs_Overall401,6.02,705
overall,OVERALL,401,402,Overall401_vs_Overall402,6.13,705
overall,OVERALL,402,403,Overall402_vs_Overall403,6.31,654
overall,OVERALL,403,404,Overall403_vs_Overall404,6.77,654
overall,OVERALL,404,405,Overall404_vs_Overall405,6.07,652
overall,OVERALL,405,406,Overall405_vs_Overall406,6.88,652
overall,OVERALL,406,407,Overall406_vs_Overall407,5.5,652
overall,OVERALL,407,408,Overall407_vs_Overall408,7.85,648
overall,OVERALL,408,409,Overall408_vs_Overall409,6.8,648
overall,OVERALL,409,410,Overall409_vs_Overall410,7.11,644
overall,OVERALL,410,411,Overall410_vs_Overall411,6.42,634
overall,OVERALL,411,412,Overall411_vs_Overall412,6.78,619
overall,OVERALL,412,413,Overall412_vs_Overall413,9.56,598
overall,OVERALL,413,414,Overall413_vs_Overall414,6.21,568
overall,OVERALL,414,415,Overall414_vs_Overall415,7.29,525
overall,OVERALL,415,416,Overall415_vs_Overall416,9.88,498
overall,OVERALL,416,417,Overall416_vs_Overall417,15.38,424
overall,OVERALL,417,418,Overall417_vs_Overall418,3.62,411
overall,OVERALL,418,419,Overall418_vs_Overall419,4.3,395
overall,OVERALL,419,420,Overall419_vs_Overall420,6.97,214
overall,OVERALL,420,421,Overall420_vs_Overall421,6.82,207
overall,OVERALL,421,422,Overall421_vs_Overall422,6.06,198
overall,OVERALL,422,423,Overall422_vs_Overall423,6.18,194
overall,OVERALL,423,424,Overall423_vs_Overall424,6.85,192
overall,OVERALL,424,425,Overall424_vs_Overall425,5.8,188
overall,OVERALL,425,426,Overall425_vs_Overall426,7.01,186
